GeoDe,DollarStreet,Combined and renamed,ImageNet21k classes,ImageNet21k ids,ImageNet1k classes,ImageNet1k ids,LAION?
-,"armchair, sitting area",armchair,armchair,n02738535,,,
backyard,"backyard, surroundings, street detail, street view",backyard,"garden, patio","n03417345, n03899768",,,
bag,-,bag,"bag, bag, bag","n02773037, n02773838, n02774152",,,
-,"bedroom, bed, bed hq, bed kids, guest bed, laying in bed - pretend to sleep",bedroom,bedroom,n02821627,,,
bicycle,bike,bicycle,"bicycle, bicycle-built-for-two	","n02834778, n02835271",,,
boat,boat,boat,boat,n02858304,,,
-,"books, reading a book, seeing the back of book",book,"book, book","n02870526, n07954211",,,
bus,-,bus,bus,n02924116,,,
candle,-,candle,candle,n02948072,,,
car,"car, car decorations",car,"car, car, car, used-car","n02958343, n02959942, n02960352, n04516354",,,
-,ceiling,ceiling,ceiling,n02990373,,,
chair,sitting area,chair,"chair, chair","n03001627, n03002096",,,
cleaning_equipment,"cleaning after toilet, cleaning equipment, cleaning floors, washing clothes/cleaning",cleaning,broom,n02906734,"vacuum, vacuum cleaner, swab, swob, mop, broom, dishrag, dishcloth","n04517823, n04517823, n04367480, n04367480, n04367480, n02906734, n03207743, n03207743",
-,"clothes, coats and jackets, wardrobe",clothes,"shirt, dress, suit, skirt, jacket, coat, sweater","n04197391, n03236735, n04350905, n04230808, n03589791, n03057021,n04370048",,,
-,computer,computer,computer,n03082979,,,
-,"cooking utensils, baking sheets, baking tables, baking tools, baking tables, bowls",cooking utensils,"spatula, spatula, ladle, whisk, bowl, bowl","n04269944, n04270147, n03633091, n04578934, n02880940, n02881193",,,
-,"couch, sofa, sitting area",couch,"couch, couch, sofa","n03115762, n03115897, n04256520",,,
-,cups/mugs/glasses,cup,"cup, cup","n03147509, n07930864",,,
-,cutlery,cutlery,tableware,n04381994,,,
-,drainage,drainage,,,,,
-,drinking water,drinking water,"water_glass, faucet","n04559910, n03325088",,,
fence,-,fence,fence,n03327234,,,
flag,-,flag,,,,,
-,floor,floor,"floor, floor","n03365592, n09282208",,,
front_door,"front door, opening the front door, closing the front door, lock on front door, walking towards front door",front door,,,,,
-,"get water, carrying water, pouring water, pouring drinking water, sources of drinking water, water sources, walking to get water",get water,"tap, fountain","n04390977, n03388043",,,
hairbrush_comb,brushing hair,hairbrush/comb,"hairbrush, comb, comb","n03475581, n03074855, n03075097",,,
-,"hand washing, washing clothes/cleaning, washing hands, dishwasher, doing dishes",hand washing,"washbasin, dishwasher","n04553703, n03207941",,,
hat,-,hat,hat,n03497657,,,
house,"house overview, home",house,"house, house","n03544360, n03545150",,,
-,"jewelry, earrings, necklaces, piercings",jewelry,"bangle, necklace, bracelet, ring","n02787435, n03814906, n02887970, n01803362",,,
jug,-,jug,jug,n03603722,,,
key,"car keys, frontdoor keys",key,key,n03613294,,,
-,kitchen,kitchen,kitchen,n03619890,,,
-,kitchen sink,kitchen sink,,,,,
-,knife,knife,"knife, knife","n03623556, n03624134",,,
light_fixture,"light source in kitchen, light source in livingroom, light sources, lightsources by bed, source of light, reading light",light fixture,"lampshade, chandelier, lamp, lamp, sconce, sconce","n03637318, n03005285, n03636248, n03636649, n04148579, n04148703",,,
light_switch,"switch on/off, turning lights on and off",light switch,,,,,
-,living room,living room,lounge,n03691817,,,
-,"make up, cosmetics, putting on make up",makeup,makeup,n03714235,,,
medicine,medication,medicine,,,,,
monument,-,monument,"statue, memorial","n04306847, n03743902",,,
-,oven,oven,oven,n03862676,,,
-,parking lot,parking lot,"garage, garage","n03416489, n03416640",,,
-,pen/pencils,pen/pencil,"pencil, pencil","n03908204, n13863020",,,
dog,pet,pet,pet,n01318894,,,
-,"phone, answering the phone, picking up the phone",phone,pay-phone,n03902125,,,
plate_of_food,"plate of food, plates",plate,"plate, plate, plate","n03960374, n03960490, n07579787",,,
-,"play area, playgrounds, playing, children room, kids playing inside, kids playing outside",play area,"play area, playground, sandbox","n03963645, n03963645, n04134523",,,
cooking_pot,cooking pots,pot,"pot, pot","n03990474, n03991062",,,
-,"power outlet, plugging into and out of power outlet",power outlet,socket,n04255163,,,
-,"reading, reading a book",read,,,,,
-,"refrigerator, freezer, opening and closing the refrigerator, opening and closing the freezer",refrigerator,refrigerator,n04070727,,,
religious_building,"religious building, worship places, worshipping",religious building,"church, mosque, temple, temple, synagogue, chapel",,"n03028079, n03788195, n04407435, n04407686, n04374735, n03007130",,
road_sign,-,road sign,,,street sign,n06794110 ,
-,roof,roof,"roof, roof","n04105068, n09416890",,,
-,"rug, sitting area",rug,rug,n04118021,,,
-,"salt, taking a teaspoon of salt",salt,,,,,
-,shampoo,shampoo,,,,,
-,"everyday shoes, nicest shoes, shoes",shoes,"shoe, shoe","n04199027, n04200000",,,
-,shower,shower,shower,n04208936,,,
-,"sleeping, laying in bed - pretend to sleep",sleep,,,,,
hand_soap,soap for hands and body,soap,soap dispenser,n04254120 ,,,
-,"source of cool, turning fan/ac on, ventilation",source of cool,"fan, air_conditioner, cooler","n03320046, n02686379, n03102654",,,
-,"source of heat, turning heater on",source of heat,"heater, radiator, fireplace","n03508101, n04040759, n03346455",,,
spices,"spice, spices, adding spices to food while cooking",spice,spice,n07812184,,,
-,"storage room, meat storages",storage room,"pantry, attic","n03885535, n02755823",,,
storefront,"foodstores, snack stores, vegetable markets, markets, meat markets",store,"shoe shop, shoe-shop, shoe store, grocery store, grocery, food market, market, confectionery, confectionary, candy store","n04200800, n04200800, n04200800, n03461385, n03461385, n03461385, n03461385, n03089624, n03089624, n03089624",,,
stove,"stove/hob, starting stove",stove,"stove, stove","n04330267, n04330340",,,
streetlight_lantern,-,streetlight lantern,streetlight,n04335886,,,
-,toilet paper,toilet paper,,,TODO,TODO,
-,"toilet, bathroom privacy, bathroom/toilet, using toilet",toilet/bathroom,"toilet, bathroom","n04446276, n02807731",,,
toothbrush,"toothbrush, toothpaste on toothbrush brushing teeth",toothbrush,toothbrush,n04453156,,,
toothpaste_toothpowder,toothpaste on toothbrush,toothpaste,toothpaste,,,,
toy,toys,toy,toy,n04461879,,,
tree,-,tree,"tree, tree","n13104059, n13912260",,,
truck,tractors,truck,truck,n04490091,,,
-,"tv, turn tv on, sitting and watching tv",tv,"television, television","n04404412, n06277280",,,
-,"wall, wall clock, wall decoration, wall inside",wall,"wall, wall","n04547592, n14564779",,,
"waste_container, dustbin","throwing food trash away, trash/waste",waste container,"trash, litter","n14858292, n14858292","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",n02747177,
-,waste dumps,waste dump,"waste-dump, landfill","n09335809, n09335809",,,
-,water outlet,water outlet,"faucet, tap","n03325088, n04390977",,,
wheelbarrow,-,wheelbarrow,"handcart, cart","n03484083, n02970849",,,
-,work area,work area,work-area,"office, desk, workstation","n03841666, n03179701, n04603399",,